	Cancer_011	Cancer_012	Cancer_013	Cancer_014	Cancer_015	Cancer_016	Cancer_017	Cancer_019	Cancer_020	Cancer_022	Cancer_023	Cancer_024	Cancer_025	Cancer_026	Cancer_027	Cancer_028	Cancer_029	Cancer_030	Cancer_031	Cancer_032	Cancer_033	Cancer_034	Cancer_035	Cancer_036	Cancer_037	Cancer_038	Cancer_039	Cancer_040	Cancer_041	Cancer_042	Cancer_043	Cancer_044	Cancer_045	Cancer_046	Cancer_047	Cancer_048	Healthy_001	Healthy_002	Healthy_003	Healthy_004	Healthy_005	Healthy_006	Healthy_007	Healthy_008	Healthy_010
hsa-miR-449b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-449c-5p	1	3	0	0	2	0	2	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	2	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4500	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-4505	2	1	0	0	2	0	0	1	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-4507	0	1.5	0	2	1	0	0.5	0	0	0.33	0.5	1.5	0	0	0	0	0.5	0	0	0.5	1.5	0	0	1.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4508	34	62.5	33	15	45	10	40	17	15	128.5	86	83	8	9	12	42	16	29.5	24	7	16	95	122	140	111	18	241.5	42	36	50	152	4	63	70.5	30	71.5	15	38	19	26	34	60	19.5	10	18
hsa-miR-450a-2-3p	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-450a-5p	9.5	6	5	1.5	6.5	2	6.5	10.5	11	10	8	9.5	0	0.5	0	0.5	0	0	0	0	3.5	2.5	10	2.5	4.5	1.5	6.5	2.5	3.5	3	23.5	4.5	0.5	0	2.5	0	1.5	2	4	0.5	2	7.5	4	1.5	1
hsa-miR-450b-5p	39	32	12	20	44	8	45	45	31	35	38	43	0	1	2	5	2	2	5	5	21	15	34	14	29	5	73	1	9	6	53	0	2	1	9	5	12	12	15	8	7	26	48	13	10
hsa-miR-4510	0	1.25	0	0.2	0	0	0	0	0	0	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.5	0	0
hsa-miR-4511	7	6	6	1	10	0	8	0	3	8	6	5	0	0	0	0	0	0	1	0	0	10	3	7	0	0	6	1	0	15	9	0	0	0	2	0	0	3	0	1	3	9	4	0	2
hsa-miR-4512	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4516	10	12	6	10	14	8	14	39	8	52	69	7	5	25	4	14	8	9	13	1	9	46	60	12	31	6	22	19	15	21	25	0	16	13	96	119	5	6	4	3	11	10	6	7	6
hsa-miR-451a	2080	2844	3879	1143	841.5	1059	24202	3780	3829.5	8390	8657	3808	920	585	94	1529	2009	1125	1504	560	2198	1317	13012	6054	1969	1243	2749	1007	4164	2365	2356	1879	1213	2172	1462	1423	2483	11586	2197	3753	2921	8671.5	8164	3159	3418
hsa-miR-451b	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
hsa-miR-452-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-452-5p	21	20	5	4	36	4	12	11	12	26	60	47	0	1	3	2	0	2	1	0	0	5	12	20	36	1	51	14	1	12	46	0	5	4	1	2	3	9	9	12	18	29	16	5	4
hsa-miR-4521	0	2	1	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4523	2	6	0	0	7	0	2	0	0	3	2	0	0	1	0	3	0	0	0	1	0	4	10	3	5	1	11	5	0	2	10	0	0	0	3	0	1	1	2	0	0	3	1	1	0
hsa-miR-4524a-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4525	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4526	1	0	1	0	1	0	2	0	2	5.5	0	0	0	0	0	1	0	0	0	0	0	7	0	3	0	0	0	0	0	0	10	0	0	4	0	0	2	0	1	0	0	2	0	1	0
hsa-miR-4531	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
hsa-miR-4533	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4535	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2
hsa-miR-4538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-454-3p	299	378	71	125	703	17	211	159	158	199	152	225	7	10	5	19	11	8	45	27	36	29	114	198	251	26	623	27	16	43	575	15	15	46	40	28	151	106	224	92	170	322	152	60	73
hsa-miR-454-5p	132	98	34	43	128	13	65	55	44	117	65	72	1	10	2	20	6	9	8	19	60	13	39	105	127	4	262	23	6	8	161	7	19	26	29	11	44	67	74	31	73	122	64	27	40
hsa-miR-455-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-455-5p	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	4	0	0	0	1	0	6	0	0	0
hsa-miR-4632-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4635	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0
hsa-miR-4636	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-4637	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4638-3p	0	1	0	0	0	0	1	3	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	8	0	0	0	0	0	1	0	0	2	0	1	0
hsa-miR-4638-5p	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	0	3	0	0	0	0	0	0	3	0	0	0	2	0	0	0
hsa-miR-4639-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4640-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4642	2	0	0	0	2	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4644	0	1	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4645-3p	14	18	4	10	11	0	8	6	6	19	3	16	0	3	0	13	1	0	3	1	5	1	7	37	10	0	15	1	8	5	34	1	1	6	3	1	2	11	2	15	8	19	5	1	11
hsa-miR-4646-3p	0	0	0	2	0	0	0	2	0	1	7	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0
hsa-miR-4646-5p	4	7	3	7	5	9	11	6	2	9	1	10	0	0	2	3	0	0	0	0	2	0	4	5	9	0	14	0	0	0	20	1	0	0	0	0	7	1	8	2	3	5	3	3	1
hsa-miR-4647	0	1	1	0	0	4	1	0	0	0	0	4	0	0	0	2	0	0	1	1	6	0	0	0	7	0	6	0	0	0	13	0	0	0	3	5	3	0	1	2	1	2	0	0	0
hsa-miR-4649-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4650-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
hsa-miR-4651	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4653-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
hsa-miR-4653-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4654	2	2	3	4	9	0	0	3	2	14	0	5	0	1	0	13	0	0	9	3	2	1	0	15	6	0	11	0	0	3	5	0	0	1	0	0	0	0	2	0	5	5	1	2	2
hsa-miR-4655-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4655-5p	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	3	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4657	0	0	0	4	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
hsa-miR-4658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659a-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4659a-5p	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659b-3p	5	5	0	3	2	0	3	7	1	5	0	5	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	1	5	0	0	0	0	0	4	2	1	0	3	2	1	1	2
hsa-miR-4659b-5p	1	3	3	4	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	5	1	0	1
hsa-miR-4660	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4661-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-4661-5p	0	2	1	0	6	0	1	0	3	5	5	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	5	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	1	0	2
hsa-miR-4662a-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4662a-5p	16	26	5	7	16	3	21	10	17	18	7	21	0	2	0	1	0	0	5	2	10	7	0	14	59	0	45	4	1	1	28	5	0	6	0	1	9	9	13	4	30	34	16	12	6
hsa-miR-4662b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4664-3p	1	0	0	0	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	0	2	4	0	0	0	0	0	0	0	0	3	0	1	0	0	0
hsa-miR-4665-5p	7	6	3	7	6	2	0	3	9	13	1	2	0	0	7	6	0	0	6	2	0	0	0	18	17	2	29	2	0	0	50	0	0	0	0	9	0	0	5	1	7	3	5	2	1
hsa-miR-4666a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4667-5p	0	3	0	1	1	0	0	4	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	3	2	0	7	0	0	5	1	1	4	0	0	2	0	0	4	1	2	3	1	0	0
hsa-miR-4668-5p	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4669	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-4671-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4672	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	2	0	0
hsa-miR-4673	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	5	10	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0
hsa-miR-4676-5p	3	1	2	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	4	0	1	0	0	0	0	1	2	2	4	5	0	0	3
hsa-miR-4677-3p	13	15	4	4	13	2	7	9	8	23	9	15	3	0	1	2	0	2	3	1	0	4	7	8	9	0	11	5	0	3	29	0	0	0	5	12	1	2	4	3	5	12	5	1	0
hsa-miR-4677-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-4680-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4681	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4685-3p	2	2	4	0	5	2	1	1	4	14	2	6	0	0	0	3	0	0	0	0	0	9	0	12	4	0	5	1	0	5	5	0	0	0	0	2	1	3	1	0	3	8	1	0	1
hsa-miR-4687-3p	12.5	9	4.5	6	15.5	0.5	0.5	10	1	10.5	7	6	0	1.5	0	3.5	2	2.5	1.5	1.5	0	9	2.5	15.5	3.5	1	28.5	4	3	8.5	18.5	1	2.5	7.5	44.5	81	0.5	1	7	2.5	4.5	5	4.5	1.5	0
hsa-miR-4687-5p	32	25	9	11	43	10	7	19	25	46	17	21	0	0	0	2	1	2	8	4	8	7	20	50	50	0	50	20	0	15	49	1	1	0	8	4	18	13	16	17	16	24	11	13	7
hsa-miR-4688	5	20	3	0	16	4	5	4	2	23	7	6	4	0	0	1	2	0	0	1	7	20	0	24	13	1	21	6	2	3	23	0	3	4	4	0	0	5	6	7	13	3	2	1	3
hsa-miR-4689	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4690-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0
hsa-miR-4690-5p	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0
hsa-miR-4691-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4695-3p	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0
hsa-miR-4697-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-4699-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
hsa-miR-4700-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4701-3p	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	9	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0
hsa-miR-4706	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	1	2	0	0	0	2	0	0
hsa-miR-4707-3p	0	0	1	0	0	0	1	1	3	3	7	0	0	0	0	0	0	0	0	1	0	0	0	6	3	0	0	2	0	0	4	6	0	0	0	3	0	0	1	0	4	0	0	2	0
hsa-miR-4707-5p	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
hsa-miR-4708-3p	0	2	0	0	0	0	1	4	2	0	0	9	1	0	0	0	0	0	0	0	0	0	4	3	2	0	3	0	0	0	16	0	0	0	1	0	0	1	0	0	1	2	2	0	0
hsa-miR-4708-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4709-3p	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0
hsa-miR-4709-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4710	2	3	1	7	6	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	4	7	0	23	0	0	0	1	0	0	0	0	0	1	0	3	2	1	2	1	2	0
hsa-miR-4712-3p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4712-5p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-3p	0	0	0	1	3	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4716-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	1	0	0
hsa-miR-4716-5p	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-3p	0	4	2	3	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	4	0	0	0	10	0	0	0	1	0	0	2	1	0	2	0	0	2	0
hsa-miR-4721	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
hsa-miR-4722-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4722-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0
hsa-miR-4723-3p	2	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	5	0	0	0	1	5	0	0	0	1	2	7	0	0	0	0	0	1	0	1	0	2	0	0	0	1
hsa-miR-4723-5p	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4725-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4726-5p	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4727-3p	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4728-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
hsa-miR-4728-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4730	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4732-3p	48	56	81	22	23	25	312	58	36	142	200	49	12	16	7	46	81	73	78	11	81	69	362	207	81	130	124	59	87	116	44	20	78	54	76	127	57	145	46	62	72	104	109	57	67
hsa-miR-4732-5p	3	10	4	1	3	3	28	5	4	17	24	14	0	0	1	3	9	4	0	2	2	2	35	8	7	7	13	7	5	7	5	1	9	10	20	10	7	6	3	5	7	6	10	5	3
